==== VAE Training Run ====
Started: Tue Oct 21 08:35:33 +08 2025
Job Name: vae_train
Job ID: 2799
Node: TC2N01
GPU(s) requested: 1
Script: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/train/train_beta_vae.py
Content Images Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/train/
Content Images Path (Validation): /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/test/
Style Images Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/train/
Style Images Path (Validation): /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/test/
Checkpoint Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/model/checkpoints/
Output File: /home/msai/birul001/gan-project/gan-HC-SCDNet/ccds-files/train_output/output_20251021_083533_2799.txt
===========================

Executing: python /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/train/train_beta_vae.py --content_dir /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/train/ --style_dir /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/train/
Using device: cuda
Loaded validation datasets. Style: 12217, Content: 17744
✓ Loaded checkpoint from /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/model/checkpoints/beta_vae_epoch1.pth
  Resuming from epoch 2
Epoch 3/30 | Step 4700/6283 | Loss 0.2244 (rec 0.2068, kl 0.0100, beta=1.75)
Epoch 3/30 | Step 4800/6283 | Loss 0.2022 (rec 0.1822, kl 0.0115, beta=1.75)
Epoch 3/30 | Step 4900/6283 | Loss 0.2109 (rec 0.1929, kl 0.0102, beta=1.75)
Epoch 3/30 | Step 5000/6283 | Loss 0.2024 (rec 0.1850, kl 0.0100, beta=1.75)
Epoch 3/30 | Step 5100/6283 | Loss 0.2092 (rec 0.1922, kl 0.0097, beta=1.75)
Epoch 3/30 | Step 5200/6283 | Loss 0.1975 (rec 0.1776, kl 0.0114, beta=1.75)
Epoch 3/30 | Step 5300/6283 | Loss 0.2076 (rec 0.1858, kl 0.0124, beta=1.75)
Epoch 3/30 | Step 5400/6283 | Loss 0.2124 (rec 0.1923, kl 0.0115, beta=1.75)
Epoch 3/30 | Step 5500/6283 | Loss 0.2062 (rec 0.1890, kl 0.0098, beta=1.75)
Epoch 3/30 | Step 5600/6283 | Loss 0.2111 (rec 0.1919, kl 0.0109, beta=1.75)
Epoch 3/30 | Step 5700/6283 | Loss 0.2046 (rec 0.1860, kl 0.0106, beta=1.75)
Epoch 3/30 | Step 5800/6283 | Loss 0.2089 (rec 0.1904, kl 0.0106, beta=1.75)
Epoch 3/30 | Step 5900/6283 | Loss 0.2217 (rec 0.2032, kl 0.0105, beta=1.75)
Epoch 3/30 | Step 6000/6283 | Loss 0.2335 (rec 0.2129, kl 0.0118, beta=1.75)
Epoch 3/30 | Step 6100/6283 | Loss 0.2211 (rec 0.2027, kl 0.0105, beta=1.75)
Epoch 3/30 | Step 6200/6283 | Loss 0.2157 (rec 0.1962, kl 0.0111, beta=1.75)
Epoch 3 complete. Avg loss: 0.2183
Saved checkpoint epoch 3
Validation loss: 0.2111
✓ Saved best model with val loss: 0.2111
Epoch 4/30 | Step 0/6283 | Loss 0.2033 (rec 0.1786, kl 0.0099, beta=2.50)
Epoch 4/30 | Step 100/6283 | Loss 0.2085 (rec 0.1883, kl 0.0081, beta=2.50)
Epoch 4/30 | Step 200/6283 | Loss 0.2068 (rec 0.1876, kl 0.0077, beta=2.50)
Epoch 4/30 | Step 300/6283 | Loss 0.2265 (rec 0.2062, kl 0.0081, beta=2.50)
Epoch 4/30 | Step 400/6283 | Loss 0.2150 (rec 0.1972, kl 0.0071, beta=2.50)
Epoch 4/30 | Step 500/6283 | Loss 0.1993 (rec 0.1830, kl 0.0065, beta=2.50)
Epoch 4/30 | Step 600/6283 | Loss 0.2100 (rec 0.1898, kl 0.0081, beta=2.50)
Epoch 4/30 | Step 700/6283 | Loss 0.2268 (rec 0.2071, kl 0.0079, beta=2.50)
Epoch 4/30 | Step 800/6283 | Loss 0.2215 (rec 0.2021, kl 0.0078, beta=2.50)
Epoch 4/30 | Step 900/6283 | Loss 0.2115 (rec 0.1991, kl 0.0050, beta=2.50)
Epoch 4/30 | Step 1000/6283 | Loss 0.2236 (rec 0.2033, kl 0.0081, beta=2.50)
